"ref_area.label","indicator.label","source.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","2021",5.58,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Persons without disability","2021",5.595,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Male","Disability status (Aggregate): Total","2021",5.604,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Male","Disability status (Aggregate): Persons without disability","2021",5.632,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Female","Disability status (Aggregate): Total","2021",5.503,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons with disability","2021",,"Unreliable",,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Female","Disability status (Aggregate): Persons without disability","2021",5.478,,,"Unemployment definition: Two criteria (not in employment and seeking)","Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","SDG indicator 8.5.2 - Unemployment rate by disability status (%)","LFS - Labour Force Survey","Sex: Total","Disability status (Aggregate): Total","2020",11.71,"Break in series",,"Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised","Repository: ILO-STATISTICS - Micro data processing"
