Country_ID,Country_E,Indicator_Id,Indicator_E,Period,Value
348,Hungary,T,Total,2010,23.58
348,Hungary,T,Total,2011,32.02
348,Hungary,T,Total,2012,29.19
348,Hungary,T,Total,2013,33.18
348,Hungary,T,Total,2014,47.76
348,Hungary,T,Total,2015,18
348,Hungary,T,Total,2016,32.08
348,Hungary,T,Total,2017,24.8
348,Hungary,T,Total,2018,30.3
348,Hungary,T,Total,2019,35.06
348,Hungary,T,Total,2020,24.12
348,Hungary,T,Total,2021,29.2
276,Germany,T,Total,2015,38.09
276,Germany,T,Total,2016,40.37
276,Germany,T,Total,2017,37.96
276,Germany,T,Total,2018,44.63
276,Germany,T,Total,2019,37.47
276,Germany,T,Total,2020,40.1
276,Germany,T,Total,2021,34.77
56,Belgium,T,Total,2020,24.29
56,Belgium,T,Total,2021,22.81
428,Latvia,T,Total,2009,33.02
428,Latvia,T,Total,2010,38.66
428,Latvia,T,Total,2011,37.25
428,Latvia,T,Total,2012,33.19
428,Latvia,T,Total,2013,26.28
428,Latvia,T,Total,2014,20.6
428,Latvia,T,Total,2015,18.94
428,Latvia,T,Total,2016,27.08
428,Latvia,T,Total,2017,18.14
428,Latvia,T,Total,2018,24.81
428,Latvia,T,Total,2019,20.07
428,Latvia,T,Total,2020,22.53
428,Latvia,T,Total,2021,20.02
376,Israel,T,Total,2016,10.54
376,Israel,T,Total,2017,8.76
376,Israel,T,Total,2018,7.95
376,Israel,T,Total,2019,8.19
376,Israel,T,Total,2020,9.19
376,Israel,T,Total,2021,8.33
578,Norway,T,Total,2009,16.47
578,Norway,T,Total,2011,11.4
578,Norway,T,Total,2012,11.77
578,Norway,T,Total,2014,13.63
578,Norway,T,Total,2015,5.5
578,Norway,T,Total,2016,6
578,Norway,T,Total,2017,18.44
578,Norway,T,Total,2018,16.52
578,Norway,T,Total,2019,13.2
578,Norway,T,Total,2020,29.48
417,Kyrgyzstan,T,Total,2020,10.9
196,Cyprus,T,Total,2009,16.05
196,Cyprus,T,Total,2010,14.38
196,Cyprus,T,Total,2011,14.85
196,Cyprus,T,Total,2012,22.92
196,Cyprus,T,Total,2013,32.57
196,Cyprus,T,Total,2014,32.33
196,Cyprus,T,Total,2015,32.78
196,Cyprus,T,Total,2016,36.87
196,Cyprus,T,Total,2017,30.3
196,Cyprus,T,Total,2018,36.81
196,Cyprus,T,Total,2019,33.3
196,Cyprus,T,Total,2020,27.84
196,Cyprus,T,Total,2021,22.4
470,Malta,T,Total,2009,18.33
470,Malta,T,Total,2010,16.79
470,Malta,T,Total,2013,17.76
470,Malta,T,Total,2014,20.95
470,Malta,T,Total,2016,30.4
276,Germany,T,Total,2009,40.3
276,Germany,T,Total,2010,38.05
276,Germany,T,Total,2011,36.77
276,Germany,T,Total,2012,38.7
276,Germany,T,Total,2013,35.05
276,Germany,T,Total,2014,35.69
756,Switzerland,T,Total,2009,8.03
756,Switzerland,T,Total,2010,9.81
756,Switzerland,T,Total,2011,8.12
756,Switzerland,T,Total,2012,11.37
756,Switzerland,T,Total,2013,6.41
756,Switzerland,T,Total,2014,9.76
756,Switzerland,T,Total,2015,14.32
756,Switzerland,T,Total,2016,15.66
756,Switzerland,T,Total,2017,19.01
756,Switzerland,T,Total,2018,20.34
756,Switzerland,T,Total,2019,14.44
756,Switzerland,T,Total,2020,18.35
470,Malta,T,Total,2020,15.74
233,Estonia,T,Total,2009,14.31
233,Estonia,T,Total,2010,25.52
233,Estonia,T,Total,2011,18.98
233,Estonia,T,Total,2012,13.43
233,Estonia,T,Total,2013,10.24
233,Estonia,T,Total,2014,11.63
233,Estonia,T,Total,2015,9.7
233,Estonia,T,Total,2016,9.11
233,Estonia,T,Total,2017,9.8
233,Estonia,T,Total,2018,10.77
233,Estonia,T,Total,2019,12.33
233,Estonia,T,Total,2020,12
233,Estonia,T,Total,2021,18.25
705,Slovenia,T,Total,2009,32.49
705,Slovenia,T,Total,2010,34.3
705,Slovenia,T,Total,2011,36.33
705,Slovenia,T,Total,2012,38.69
705,Slovenia,T,Total,2013,42.58
705,Slovenia,T,Total,2014,39.94
705,Slovenia,T,Total,2015,35.76
705,Slovenia,T,Total,2016,39.17
705,Slovenia,T,Total,2017,32.63
705,Slovenia,T,Total,2018,35.23
705,Slovenia,T,Total,2019,29.32
705,Slovenia,T,Total,2020,34.93
705,Slovenia,T,Total,2021,37.68
191,Croatia,T,Total,2010,46.66
191,Croatia,T,Total,2011,64.85
191,Croatia,T,Total,2012,48.67
191,Croatia,T,Total,2013,46.38
191,Croatia,T,Total,2014,42.93
191,Croatia,T,Total,2015,54.07
191,Croatia,T,Total,2016,41.89
191,Croatia,T,Total,2017,48.96
191,Croatia,T,Total,2018,49.71
191,Croatia,T,Total,2019,39.72
191,Croatia,T,Total,2020,44.39
191,Croatia,T,Total,2021,40.18
51,Armenia,T,Total,2012,15.82
51,Armenia,T,Total,2013,11.87
51,Armenia,T,Total,2014,16.15
51,Armenia,T,Total,2015,15.67
51,Armenia,T,Total,2016,18.85
51,Armenia,T,Total,2017,14
51,Armenia,T,Total,2018,11.16
51,Armenia,T,Total,2019,9.76
51,Armenia,T,Total,2020,7.17
442,Luxembourg,T,Total,2009,29.12
442,Luxembourg,T,Total,2010,25.82
442,Luxembourg,T,Total,2011,32.66
442,Luxembourg,T,Total,2012,22.62
442,Luxembourg,T,Total,2013,21.17
442,Luxembourg,T,Total,2014,16.94
442,Luxembourg,T,Total,2015,20.01
442,Luxembourg,T,Total,2016,19.57
442,Luxembourg,T,Total,2017,20.72
442,Luxembourg,T,Total,2018,21.91
442,Luxembourg,T,Total,2019,28.51
442,Luxembourg,T,Total,2020,28.62
442,Luxembourg,T,Total,2021,9.78
724,Spain,T,Total,2009,21.7
724,Spain,T,Total,2010,23.6
724,Spain,T,Total,2011,26.8
724,Spain,T,Total,2012,33.2
724,Spain,T,Total,2013,35
724,Spain,T,Total,2014,32.2
724,Spain,T,Total,2015,31
724,Spain,T,Total,2016,45.2
724,Spain,T,Total,2017,41.52
724,Spain,T,Total,2018,42.44
724,Spain,T,Total,2019,44.21
724,Spain,T,Total,2020,29.39
724,Spain,T,Total,2021,30.95
100,Bulgaria,T,Total,2009,38.58
100,Bulgaria,T,Total,2010,14.5
100,Bulgaria,T,Total,2011,42.46
100,Bulgaria,T,Total,2012,26.94
100,Bulgaria,T,Total,2013,41.05
100,Bulgaria,T,Total,2014,48.71
100,Bulgaria,T,Total,2015,15.8
100,Bulgaria,T,Total,2016,12.3
100,Bulgaria,T,Total,2017,30.52
100,Bulgaria,T,Total,2018,24.14
100,Bulgaria,T,Total,2019,38.18
100,Bulgaria,T,Total,2020,6.12
100,Bulgaria,T,Total,2021,24.28
440,Lithuania,T,Total,2009,27.07
440,Lithuania,T,Total,2010,37.33
440,Lithuania,T,Total,2011,53.49
440,Lithuania,T,Total,2012,42.51
440,Lithuania,T,Total,2013,36.49
440,Lithuania,T,Total,2014,48.63
440,Lithuania,T,Total,2015,60.46
440,Lithuania,T,Total,2016,45.52
440,Lithuania,T,Total,2017,14.58
440,Lithuania,T,Total,2018,29.23
440,Lithuania,T,Total,2019,24.01
440,Lithuania,T,Total,2020,20.08
440,Lithuania,T,Total,2021,27.49
40,Austria,T,Total,2009,39.87
40,Austria,T,Total,2010,28.47
40,Austria,T,Total,2011,31.41
40,Austria,T,Total,2012,33.18
40,Austria,T,Total,2013,35.39
40,Austria,T,Total,2014,45.92
40,Austria,T,Total,2015,35.69
40,Austria,T,Total,2016,39.54
40,Austria,T,Total,2017,37.67
40,Austria,T,Total,2018,44.26
40,Austria,T,Total,2019,39.37
40,Austria,T,Total,2020,42.29
40,Austria,T,Total,2021,46.05
203,Czechia,T,Total,2009,29.46
203,Czechia,T,Total,2010,31.03
203,Czechia,T,Total,2011,30.77
203,Czechia,T,Total,2012,30.21
203,Czechia,T,Total,2013,29.79
203,Czechia,T,Total,2014,37.63
203,Czechia,T,Total,2015,19.59
203,Czechia,T,Total,2016,16.4
203,Czechia,T,Total,2017,33.1
203,Czechia,T,Total,2018,32.98
203,Czechia,T,Total,2019,32.05
203,Czechia,T,Total,2020,23.6
203,Czechia,T,Total,2021,28.59
246,Finland,T,Total,2009,26.14
246,Finland,T,Total,2010,34.33
246,Finland,T,Total,2011,35.33
246,Finland,T,Total,2012,28.8
246,Finland,T,Total,2013,30.5
246,Finland,T,Total,2014,34.86
246,Finland,T,Total,2015,40.1
246,Finland,T,Total,2016,38.23
246,Finland,T,Total,2017,33.38
246,Finland,T,Total,2018,52.09
246,Finland,T,Total,2019,38.6
246,Finland,T,Total,2020,39.26
246,Finland,T,Total,2021,45.97
752,Sweden,T,Total,2009,20.31
752,Sweden,T,Total,2010,19.81
752,Sweden,T,Total,2011,29.78
752,Sweden,T,Total,2012,21.21
752,Sweden,T,Total,2013,17.86
752,Sweden,T,Total,2014,36.29
752,Sweden,T,Total,2015,20.54
752,Sweden,T,Total,2016,22.31
752,Sweden,T,Total,2017,23.68
752,Sweden,T,Total,2018,33.8
752,Sweden,T,Total,2019,22.22
752,Sweden,T,Total,2020,29.83
752,Sweden,T,Total,2021,24.78
703,Slovakia,T,Total,2009,21.4
703,Slovakia,T,Total,2010,32.02
703,Slovakia,T,Total,2011,28.99
703,Slovakia,T,Total,2012,27.91
703,Slovakia,T,Total,2013,22.76
703,Slovakia,T,Total,2014,30.86
703,Slovakia,T,Total,2015,16.9
703,Slovakia,T,Total,2016,15.9
703,Slovakia,T,Total,2017,22.81
703,Slovakia,T,Total,2018,29.25
703,Slovakia,T,Total,2019,23.77
703,Slovakia,T,Total,2020,21.08
372,Ireland,T,Total,2009,27.47
372,Ireland,T,Total,2010,29.2
372,Ireland,T,Total,2011,36.88
372,Ireland,T,Total,2012,39.15
372,Ireland,T,Total,2013,30.83
372,Ireland,T,Total,2014,29.65
372,Ireland,T,Total,2015,36
372,Ireland,T,Total,2016,36.76
372,Ireland,T,Total,2017,33.66
372,Ireland,T,Total,2018,14.26
372,Ireland,T,Total,2019,25.41
372,Ireland,T,Total,2020,25.64
372,Ireland,T,Total,2021,45.78
56,Belgium,T,Total,2009,33.65
56,Belgium,T,Total,2010,30.23
56,Belgium,T,Total,2011,34.66
56,Belgium,T,Total,2012,37.94
56,Belgium,T,Total,2013,33.06
56,Belgium,T,Total,2014,31.82
56,Belgium,T,Total,2015,13.01
56,Belgium,T,Total,2016,12
56,Belgium,T,Total,2017,32.15
56,Belgium,T,Total,2018,30.27
56,Belgium,T,Total,2019,33.95
826,United Kingdom,T,Total,2009,11.69
826,United Kingdom,T,Total,2010,15.64
826,United Kingdom,T,Total,2011,16.29
826,United Kingdom,T,Total,2012,10.8
826,United Kingdom,T,Total,2013,14.49
826,United Kingdom,T,Total,2014,14.44
826,United Kingdom,T,Total,2015,11.68
826,United Kingdom,T,Total,2016,13.05
826,United Kingdom,T,Total,2017,13.59
826,United Kingdom,T,Total,2018,12.42
528,Netherlands,T,Total,2009,14.58
528,Netherlands,T,Total,2010,8.58
528,Netherlands,T,Total,2011,15.35
528,Netherlands,T,Total,2013,14.21
528,Netherlands,T,Total,2014,7.5
528,Netherlands,T,Total,2015,16.59
528,Netherlands,T,Total,2016,17.14
528,Netherlands,T,Total,2017,9.32
528,Netherlands,T,Total,2018,13.29
528,Netherlands,T,Total,2019,4.43
528,Netherlands,T,Total,2020,16.52
528,Netherlands,T,Total,2021,26.68
300,Greece,T,Total,2009,47.61
300,Greece,T,Total,2010,28.71
300,Greece,T,Total,2011,39.22
300,Greece,T,Total,2012,35.63
300,Greece,T,Total,2013,41.63
300,Greece,T,Total,2014,50.58
300,Greece,T,Total,2015,44.36
300,Greece,T,Total,2016,39.51
300,Greece,T,Total,2017,41.11
300,Greece,T,Total,2018,38.52
300,Greece,T,Total,2019,38.94
300,Greece,T,Total,2020,30.25
300,Greece,T,Total,2021,34.51
352,Iceland,T,Total,2009,20.1
352,Iceland,T,Total,2010,15.45
352,Iceland,T,Total,2011,22.75
352,Iceland,T,Total,2012,14.26
352,Iceland,T,Total,2013,10.39
352,Iceland,T,Total,2014,11.15
352,Iceland,T,Total,2015,6.63
380,Italy,T,Total,2009,25.15
380,Italy,T,Total,2010,19.17
380,Italy,T,Total,2011,24.42
380,Italy,T,Total,2012,21
380,Italy,T,Total,2013,22.69
380,Italy,T,Total,2014,24.52
380,Italy,T,Total,2015,29.25
380,Italy,T,Total,2016,27.36
380,Italy,T,Total,2017,23.09
380,Italy,T,Total,2018,22.15
380,Italy,T,Total,2019,23.08
380,Italy,T,Total,2020,21.58
380,Italy,T,Total,2021,17.43
250,France,T,Total,2009,22.58
250,France,T,Total,2010,23.22
250,France,T,Total,2011,22.38
250,France,T,Total,2012,20.66
250,France,T,Total,2013,21.7
250,France,T,Total,2014,24.43
250,France,T,Total,2015,14.4
250,France,T,Total,2016,14.5
250,France,T,Total,2017,25.22
250,France,T,Total,2018,27.53
250,France,T,Total,2019,24.94
250,France,T,Total,2020,11.5
250,France,T,Total,2021,27.9
208,Denmark,T,Total,2009,16.81
208,Denmark,T,Total,2010,29.62
208,Denmark,T,Total,2011,29.74
208,Denmark,T,Total,2012,35.32
208,Denmark,T,Total,2013,35.32
208,Denmark,T,Total,2014,37.74
208,Denmark,T,Total,2015,38.87
208,Denmark,T,Total,2016,32.62
208,Denmark,T,Total,2017,38.33
208,Denmark,T,Total,2018,31.11
208,Denmark,T,Total,2019,25.5
208,Denmark,T,Total,2020,27.16
208,Denmark,T,Total,2021,30.61
498,Republic of Moldova,T,Total,2017,2.67
498,Republic of Moldova,T,Total,2019,0.87
51,Armenia,T,Total,2009,17.24
51,Armenia,T,Total,2010,20.54
51,Armenia,T,Total,2011,15.6
8,Albania,T,Total,2012,19.83
616,Poland,T,Total,2009,17.08
616,Poland,T,Total,2010,17.16
616,Poland,T,Total,2011,18.01
616,Poland,T,Total,2012,25.01
616,Poland,T,Total,2013,24.39
616,Poland,T,Total,2014,23.67
616,Poland,T,Total,2015,28.38
616,Poland,T,Total,2016,23.04
616,Poland,T,Total,2017,17.45
616,Poland,T,Total,2018,20.36
616,Poland,T,Total,2019,15.77
616,Poland,T,Total,2020,19.13
840,United States,T,Total,2009,14.48
840,United States,T,Total,2010,14.78
840,United States,T,Total,2011,15.06
840,United States,T,Total,2012,13.41
840,United States,T,Total,2013,13.25
840,United States,T,Total,2014,12.54
840,United States,T,Total,2015,10.7
840,United States,T,Total,2016,10.57
840,United States,T,Total,2017,9.22
840,United States,T,Total,2018,7.96
840,United States,T,Total,2019,7.33
840,United States,T,Total,2020,12.55
840,United States,T,Total,2021,10.12
643,Russian Federation,T,Total,2015,19
643,Russian Federation,T,Total,2016,18.3
643,Russian Federation,T,Total,2018,17.8
643,Russian Federation,T,Total,2019,15.9
